id,organization_id,url,type,species,breeds,colors,age,gender,size,coat,attributes,environment,tags,name,description,organization_animal_id,photos,primary_photo_cropped,videos,status,status_changed_at,published_at,distance,contact,_links
54355591,OR141,https://www.petfinder.com/cat/mystique-54355591/or/portland/northwest-animal-companions-or141/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Young,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': True, 'dogs': True, 'cats': True}","['Friendly', 'Funny', 'Loves kisses', 'Affectionate', 'Athletic', 'Loyal', 'Playful', 'Smart', 'Brave', 'Curious']",Mystique,Meet Mystique! She is the sweetest cat you&#039;ll ever meet! She loves to lay with you and snuggle. She is...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/2/?bust=1642997852&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/2/?bust=1642997852&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/2/?bust=1642997852&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/2/?bust=1642997852'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/3/?bust=1642997853&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/3/?bust=1642997853&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/3/?bust=1642997853&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/3/?bust=1642997853'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54355591/1/?bust=1642997851'}",[],adoptable,2022-01-24T04:17:34+0000,2022-01-24T04:17:34+0000,146.6013,"{'email': 'amiyouel@mac.com', 'phone': None, 'address': {'address1': None, 'address2': None, 'city': 'Portland', 'state': 'OR', 'postcode': '97225', 'country': 'US'}}","{'self': {'href': '/v2/animals/54355591'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/or141'}}"
54353396,OR324,https://www.petfinder.com/cat/elsa-54353396/or/salem/coalition-advocating-for-animals-cafa-or324/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'White', 'secondary': None, 'tertiary': None}",Baby,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': True}","{'children': None, 'dogs': None, 'cats': True}","['Friendly', 'Affectionate', 'Gentle', 'Playful', 'Independent']",Elsa,"Elsa is a very sweet, 6-month-old kitten who loves affection.  She loves to play and that&#039;s one of the best...",,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/1/?bust=1642983016&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/1/?bust=1642983016&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/1/?bust=1642983016&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/1/?bust=1642983016'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/2/?bust=1642983017&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/2/?bust=1642983017&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/2/?bust=1642983017&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/2/?bust=1642983017'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/4/?bust=1642983019&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/4/?bust=1642983019&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/4/?bust=1642983019&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/4/?bust=1642983019'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/5/?bust=1642983019&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/5/?bust=1642983019&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/5/?bust=1642983019&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/5/?bust=1642983019'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/6/?bust=1642983020&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/6/?bust=1642983020&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/6/?bust=1642983020&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/6/?bust=1642983020'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353396/3/?bust=1642983018'}",[],adoptable,2022-01-24T00:10:22+0000,2022-01-24T00:10:22+0000,194.1129,"{'email': 'cafaoregon@yahoo.com', 'phone': '(503) 588-6924', 'address': {'address1': None, 'address2': None, 'city': 'Salem', 'state': 'OR', 'postcode': '97306', 'country': 'US'}}","{'self': {'href': '/v2/animals/54353396'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/or324'}}"
54353114,WA139,https://www.petfinder.com/cat/mowgli-54353114/wa/wenatchee/wenatchee-valley-humane-society-wa139/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Long Hair', 'secondary': 'Domestic Short Hair', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Male,Medium,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Mowgli,"This sweet boy, along with his siblings, started life outdoors in a group of neighborhood cats. While at a foster...",49411322,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54353114/1/?bust=1642979802'}",[],adoptable,2022-01-23T23:06:33+0000,2022-01-23T23:06:33+0000,95.8889,"{'email': 'wvhs@wenatcheehumane.org', 'phone': '509-662-9577', 'address': {'address1': '1474 South Wenatchee Avenue', 'address2': None, 'city': 'Wenatchee', 'state': 'WA', 'postcode': '98807', 'country': 'US'}}","{'self': {'href': '/v2/animals/54353114'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa139'}}"
54352681,WA27,https://www.petfinder.com/cat/nica-54352681/wa/seattle/seattle-animal-shelter-wa27/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Long Hair', 'secondary': 'Domestic Short Hair', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Young,Female,Small,,"{'spayed_neutered': False, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Nica,"Playful, curious and young. Nica is looking for a family who can give her lots of playtime, love and attention....",49443013,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54352681/1/?bust=1642976215'}",[],adoptable,2022-01-23T22:06:45+0000,2022-01-23T22:06:45+0000,3.0372,"{'email': None, 'phone': '206-386-7387', 'address': {'address1': '2061 15th Avenue West', 'address2': None, 'city': 'Seattle', 'state': 'WA', 'postcode': '98119', 'country': 'US'}}","{'self': {'href': '/v2/animals/54352681'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa27'}}"
54351820,WA433,https://www.petfinder.com/cat/wendy-and-amp-joanna-beauchamp-bonded-pair-54351820/wa/redmond/motley-zoo-animal-rescue-wa433/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Long Hair', 'secondary': None, 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': True, 'shots_current': False}","{'children': True, 'dogs': True, 'cats': True}",[],Wendy &amp; Joanna Beauchamp (bonded pair),"** They are a bonded pair and must be adopted together **

NAME: Wendy Beauchamp &amp;amp; Joanna Beauchamp

LOCATION: They...",17638334,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/2/?bust=1642974326&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/2/?bust=1642974326&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/2/?bust=1642974326&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/2/?bust=1642974326'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/3/?bust=1642974320&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/3/?bust=1642974320&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/3/?bust=1642974320&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/3/?bust=1642974320'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351820/1/?bust=1642974321'}",[],adoptable,2022-01-23T21:34:50+0000,2022-01-23T21:34:50+0000,10.8906,"{'email': 'adopt@motleyzoo.org', 'phone': '(206) 453-8480', 'address': {'address1': None, 'address2': None, 'city': 'Redmond', 'state': 'WA', 'postcode': '98052', 'country': 'US'}}","{'self': {'href': '/v2/animals/54351820'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa433'}}"
54351517,BC93,https://www.petfinder.com/cat/sookie-54351517/bc/coquitlam/city-of-coquitlam-animal-shelter-bc93/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': 'Black', 'secondary': None, 'tertiary': None}",Young,Female,Medium,Medium,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': True, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Sookie,Sweet Sookie has a unique look due to an old eye injury. It doesn&#039;t bother her and it&#039;s hard to...,,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54351517/1/?bust=1642971014'}",[],adoptable,2022-01-23T20:50:16+0000,2022-01-23T20:50:16+0000,115.7366,"{'email': 'adoption@coquitlam.ca', 'phone': '(604) 927-7386', 'address': {'address1': '500 Mariner Way', 'address2': None, 'city': 'Coquitlam', 'state': 'BC', 'postcode': 'V3C 3T5', 'country': 'CA'}}","{'self': {'href': '/v2/animals/54351517'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/bc93'}}"
54350746,WA40,https://www.petfinder.com/cat/monica-54350746/wa/shoreline/seattle-area-feline-rescue-wa40/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': True}",[],Monica,"Monica is 16 weeks old.
Kittens under 6 months old are adopted in pairs. It is important for them to...",211126B,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/2/?bust=1642969965&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/2/?bust=1642969965&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/2/?bust=1642969965&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/2/?bust=1642969965'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350746/1/?bust=1642969959'}",[],adoptable,2022-01-23T20:22:36+0000,2022-01-23T20:22:36+0000,8.9665,"{'email': 'adoptions@seattleareafelinerescue.org', 'phone': '(206) 659-6220', 'address': {'address1': '14717 Aurora Ave N', 'address2': None, 'city': 'Shoreline', 'state': 'WA', 'postcode': '98133', 'country': 'US'}}","{'self': {'href': '/v2/animals/54350746'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa40'}}"
54350747,WA40,https://www.petfinder.com/cat/rachel-54350747/wa/shoreline/seattle-area-feline-rescue-wa40/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Long Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': True}",[],Rachel,"Rachel is 16 weeks old.
Kittens under 6 months old are adopted in pairs. It is important for them to...",211126A,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/2/?bust=1642969964&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/2/?bust=1642969964&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/2/?bust=1642969964&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/2/?bust=1642969964'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350747/1/?bust=1642969963'}",[],adoptable,2022-01-23T20:22:36+0000,2022-01-23T20:22:36+0000,8.9665,"{'email': 'adoptions@seattleareafelinerescue.org', 'phone': '(206) 659-6220', 'address': {'address1': '14717 Aurora Ave N', 'address2': None, 'city': 'Shoreline', 'state': 'WA', 'postcode': '98133', 'country': 'US'}}","{'self': {'href': '/v2/animals/54350747'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa40'}}"
54350745,WA40,https://www.petfinder.com/cat/phoebe-54350745/wa/shoreline/seattle-area-feline-rescue-wa40/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': None, 'mixed': False, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': True, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': True}",[],Phoebe,"Phoebe is 16 weeks old.
Kittens under 6 months old are adopted in pairs. It is important for them to...",211126C,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/2/?bust=1642969964&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/2/?bust=1642969964&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/2/?bust=1642969964&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/2/?bust=1642969964'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54350745/1/?bust=1642969963'}",[],adoptable,2022-01-23T20:22:35+0000,2022-01-23T20:22:35+0000,8.9665,"{'email': 'adoptions@seattleareafelinerescue.org', 'phone': '(206) 659-6220', 'address': {'address1': '14717 Aurora Ave N', 'address2': None, 'city': 'Shoreline', 'state': 'WA', 'postcode': '98133', 'country': 'US'}}","{'self': {'href': '/v2/animals/54350745'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa40'}}"
54339218,WA06,https://www.petfinder.com/cat/velvet-54339218/wa/bellevue/seattle-humane-the-humane-society-for-seattle-king-county-wa06/?referrer_id=c5011248-6bef-4ce5-a981-74b25fdf97cc,Cat,Cat,"{'primary': 'Domestic Medium Hair', 'secondary': 'Domestic Short Hair', 'mixed': True, 'unknown': False}","{'primary': None, 'secondary': None, 'tertiary': None}",Baby,Female,Small,,"{'spayed_neutered': True, 'house_trained': False, 'declawed': False, 'special_needs': False, 'shots_current': False}","{'children': None, 'dogs': None, 'cats': None}",[],Velvet,"What my friends at Seattle Humane say about me:
 The folks here are still getting to know me!

The type...",49400458,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/3/?bust=1642882625&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/3/?bust=1642882625&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/3/?bust=1642882625&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/3/?bust=1642882625'}]","{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=300', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=450', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/54339218/1/?bust=1642882624'}",[],adoptable,2022-01-22T20:07:00+0000,2022-01-22T20:07:00+0000,8.0221,"{'email': 'humane@seattlehumane.org', 'phone': '(425) 641-0080  ', 'address': {'address1': '13212 SE Eastgate Way', 'address2': None, 'city': 'Bellevue', 'state': 'WA', 'postcode': '98005', 'country': 'US'}}","{'self': {'href': '/v2/animals/54339218'}, 'type': {'href': '/v2/types/cat'}, 'organization': {'href': '/v2/organizations/wa06'}}"
